"institut","partei","mae","rmse"
"Allensbach","afd",1.84,2.08614476966485
"Allensbach","cdu_csu",2.7375,3.3689761055846
"Allensbach","fdp",1.3625,1.69595106061466
"Allensbach","gruene",0.96875,1.10933538661669
"Allensbach","linke_pds",1.61,2.97808663406557
"Allensbach","spd",1.075,1.18743420870379
"Emnid","afd",1.3,1.36747943311773
"Emnid","cdu_csu",3.2875,3.88876587107015
"Emnid","fdp",1.60625,1.83660692582817
"Emnid","gruene",1.01875,1.09971587239614
"Emnid","linke_pds",1.0375,2.05395959064437
"Emnid","spd",0.96875,1.16216392991695
"FG Wahlen","afd",1.63333333333333,1.80831413200251
"FG Wahlen","cdu_csu",2.73,2.99048491051201
"FG Wahlen","fdp",0.99,1.21614143914267
"FG Wahlen","gruene",1.09,1.22922739962954
"FG Wahlen","linke_pds",0.54,0.598331012066064
"FG Wahlen","spd",1.37,1.56620560591514
"Forsa","afd",2.41111111111111,2.65057645721748
"Forsa","cdu_csu",2.68,3.06768099167216
"Forsa","fdp",1.5,1.74966663491459
"Forsa","gruene",0.806666666666667,0.935948716543807
"Forsa","linke_pds",1.63636363636364,2.42187005131459
"Forsa","spd",1.21333333333333,1.43666279968544
"GMS","afd",2.15,2.19658826364888
"GMS","cdu_csu",3.99285714285714,4.58701583665397
"GMS","fdp",1.62857142857143,1.90375568660627
"GMS","gruene",1.02857142857143,1.41724078002696
"GMS","linke_pds",3.07,3.85214226113211
"GMS","spd",1.24285714285714,1.37165176755202
"Infratest Dimap","afd",1.13333333333333,1.36137185711081
"Infratest Dimap","cdu_csu",2.83333333333333,3.23642463908005
"Infratest Dimap","fdp",1.01111111111111,1.36096371083957
"Infratest Dimap","gruene",0.944444444444444,1.05039675043925
"Infratest Dimap","linke_pds",1.31666666666667,2.53410076095381
"Infratest Dimap","spd",0.888888888888889,1.32916013582513
"INSA","afd",1.05,1.20761472884912
"INSA","cdu_csu",2.88333333333333,3.01468627444604
"INSA","fdp",1.31666666666667,1.37780017902936
"INSA","gruene",1.88333333333333,2.1019831905449
"INSA","linke_pds",5.93333333333333,5.95203046587185
"INSA","spd",1.81666666666667,1.99039359591681
