"date","CDU/CSU","SPD","Die Linke/PDS","AfD","Bündnis 90/Die Grünen","FDP"
2000-07-24,38,40,5,NA,5,7
2000-08-21,36,42,5,NA,6,7
2000-09-18,38,40,5,NA,6,6
2000-10-16,37,41,5,NA,6,6
2000-11-13,38,41,5,NA,6,6
2000-12-11,38,41,5,NA,6,6
2001-01-22,38,41,5,NA,6,6
2001-02-19,36,43,5,NA,5,7
2001-03-19,37,42,5,NA,6,6
2001-04-09,38,41,5,NA,6,6
2001-05-07,35,41,5,NA,7,8
2001-05-21,36,41,5,NA,5,8
2001-06-11,37,39,5,NA,7,9
2001-06-25,36,41,5,NA,5,8
2001-07-09,34,39,7,NA,7,10
2001-07-23,35,41,5,NA,5,9
2001-08-06,36,38,6,NA,7,10
2001-08-20,36,39,6,NA,6,9
2001-08-27,37,38,5.5,NA,6,8
2001-09-03,37,38,6,NA,6,9
2001-09-10,36,38,5,NA,7,10
2001-09-17,38,40,5,NA,5,7
2001-10-01,36,40,5,NA,6,8
2001-10-08,36,40,5,NA,6,9
2001-10-15,37.5,40,5.5,NA,5.5,7.5
2001-10-22,36,41,5,NA,6,7
2001-11-05,35,40.6666666666667,6.33333333333333,NA,6,8
2001-11-19,35.6666666666667,40.3333333333333,6.66666666666667,NA,5,8
2001-11-26,36,39,8,NA,5,7
2001-12-03,37,39,6,NA,5,7
2001-12-10,36,40,7,NA,6,9
2001-12-17,36.5,40,6.5,NA,5.5,7
2002-01-07,38,38,7,NA,6,7
2002-01-14,39.3333333333333,38,6.66666666666667,NA,5.33333333333333,7.33333333333333
2002-01-21,40.5,38,6,NA,5,7
2002-01-28,41,37,6,NA,6,8
2002-02-04,41,36,7,NA,6,8
2002-02-11,40.5,38,6,NA,4.5,8
2002-02-18,41,37,6,NA,5,9
2002-02-25,40.5,37,5.5,NA,5.33333333333333,8
2002-03-04,39.5,37,6,NA,6,9
2002-03-11,40.3333333333333,36,5.66666666666667,NA,5.66666666666667,8.33333333333333
2002-03-18,41,33,7,NA,6,9
2002-03-25,40.3333333333333,35.3333333333333,6,NA,6,8.66666666666667
2002-04-01,39,36,7,NA,7,9
2002-04-08,39.3333333333333,34.6666666666667,6.66666666666667,NA,6.66666666666667,8.66666666666667
2002-04-15,40,35.75,5.25,NA,6.5,8.75
2002-04-22,40,35,6,NA,5,9
2002-04-29,40.6666666666667,34,5.66666666666667,NA,6,9.66666666666667
2002-05-06,41,31.5,5.5,NA,7,11.5
2002-05-13,41,34,5.5,NA,6.5,9.5
2002-05-27,38.5,33.5,6,NA,6,11.5
2002-06-03,40,35,5.5,NA,6,9
2002-06-10,38.3333333333333,34.3333333333333,6,NA,7,10
2002-06-17,38.7,35.4,5.6,NA,6.2,10.2
2002-06-24,39.6666666666667,34.6666666666667,5.33333333333333,NA,6.33333333333333,9.33333333333333
2002-07-01,39,35.6666666666667,5.66666666666667,NA,6.33333333333333,9
2002-07-08,39.6666666666667,35.6666666666667,5.66666666666667,NA,6.33333333333333,8.66666666666667
2002-07-15,40.3333333333333,36.3333333333333,5,NA,6,8.33333333333333
2002-07-22,39.6666666666667,35,6,NA,6.33333333333333,9
2002-07-29,41.5,35.5,5,NA,6,9
2002-08-05,40.6666666666667,34.6666666666667,5.33333333333333,NA,6.66666666666667,8.66666666666667
2002-08-12,41,34.75,4.5,NA,6.5,9.25
2002-08-19,40.3333333333333,35.3333333333333,4.66666666666667,NA,7,9
2002-08-26,40,36.8333333333333,4.66666666666667,NA,6.66666666666667,8.5
2002-09-02,39.625,38,4.25,NA,7,8
2002-09-09,38.75,38.5,4.16666666666667,NA,7.33333333333333,8.5
2002-09-16,37.25,39.125,4.3,NA,7.25,8
2002-09-30,39,39,3,NA,10,7
2002-10-07,39.5,38,4,NA,9.5,6.5
2002-10-14,39.5,38,3.5,NA,9.5,6.5
2002-10-21,40.3333333333333,37.3333333333333,3.66666666666667,NA,9.33333333333333,6.33333333333333
2002-10-28,42,35.6666666666667,3.33333333333333,NA,10,5.66666666666667
2002-11-04,44,34,4,NA,9.5,5.5
2002-11-11,45,33,4,NA,10,5
2002-11-18,46.0166666666667,31.55,4.16666666666667,NA,9.56666666666667,5.3
2002-11-25,49.3333333333333,28.6666666666667,4,NA,10.3333333333333,4.66666666666667
2002-12-02,49,28.3333333333333,4.33333333333333,NA,10.6666666666667,4.66666666666667
2002-12-09,48.3333333333333,28.3333333333333,4.33333333333333,NA,11,4.66666666666667
2002-12-16,47.4,29.35,4.25,NA,10.125,5.325
2002-12-23,47,30,4,NA,11,5
2002-12-30,48,30,3,NA,11,5
2003-01-06,47,31,3.5,NA,10.5,5
2003-01-13,47.6666666666667,29.6666666666667,3.66666666666667,NA,10.6666666666667,5.33333333333333
2003-01-20,46.5,30.85,3.6,NA,9.825,6.325
2003-01-27,47,30.6666666666667,4,NA,9.66666666666667,5.33333333333333
2003-02-03,48,28.6666666666667,3.33333333333333,NA,10.3333333333333,6.66666666666667
2003-02-10,48.2,27.92,3.64,NA,10.56,6.92
2003-02-17,48.25,27.75,3.5,NA,11.25,6.5
2003-02-24,47.3333333333333,29,3.66666666666667,NA,10.6666666666667,6.33333333333333
2003-03-03,47.6666666666667,28.6666666666667,3.66666666666667,NA,11,6.33333333333333
2003-03-10,47.575,27.6,3.55,NA,11.225,6.95
2003-03-17,48,28.8,3.4,NA,10.6,6.4
2003-03-24,46,30.6666666666667,3.66666666666667,NA,10.6666666666667,6
2003-03-31,45.5,32,3.5,NA,10.5,5.5
2003-04-07,45.5,31,3.5,NA,11,6
2003-04-14,44.9333333333333,31.6,3.7,NA,10.2333333333333,6.46666666666667
2003-04-21,45.8333333333333,29.8333333333333,4,NA,10.5,7.16666666666667
2003-04-28,46,29.3333333333333,4.33333333333333,NA,11.3333333333333,6.33333333333333
2003-05-05,47.25,28.5,4.25,NA,10.5,6.5
2003-05-12,46.975,27.6,4.3,NA,11.575,6.975
2003-05-19,47.75,27.5,4.25,NA,10.5,6.75
2003-05-26,47.5,27.375,3.75,NA,11.125,7.25
2003-06-02,46,28.5,4,NA,10.5,8
2003-06-09,45.82,29.38,4,NA,10.14,6.96
2003-06-16,46.25,29.75,3.75,NA,10.5,6.5
2003-06-23,46.25,29.625,3.5,NA,10.625,6.75
2003-06-30,46.25,30.5,4,NA,9.75,6
2003-07-07,45.3333333333333,31,4,NA,10.3333333333333,6.66666666666667
2003-07-14,44.475,31.65,3.85,NA,10,6.7
2003-07-21,45.4,31.2,3.8,NA,9.8,6.6
2003-07-28,45,31,3.75,NA,10.75,7
2003-08-04,45.3333333333333,31,4.33333333333333,NA,9.66666666666667,6.33333333333333
2003-08-11,44.925,30.75,4.325,NA,10.225,6.9
2003-08-18,44,30.3333333333333,3.66666666666667,NA,10.3333333333333,7.66666666666667
2003-08-25,45.2,30,3.8,NA,10.6,7
2003-09-01,44.6666666666667,30.3333333333333,4.33333333333333,NA,10.6666666666667,6.33333333333333
2003-09-08,45.175,29.7,4.15,NA,10.425,6.975
2003-09-15,45.8,29.6,3.8,NA,10.2,6.8
2003-09-22,46.3333333333333,28.6666666666667,4,NA,10.6666666666667,6.66666666666667
2003-09-29,49,27,3.66666666666667,NA,11.6666666666667,5.66666666666667
2003-10-06,49.2,26.725,3.825,NA,11.05,5.95
2003-10-13,49.3333333333333,27,3.33333333333333,NA,10.6666666666667,5.66666666666667
2003-10-20,50,25.6,3.2,NA,11.4,6
2003-10-27,49.75,25.75,3.75,NA,10.75,6.5
2003-11-03,50.3333333333333,24,4.33333333333333,NA,11,6.33333333333333
2003-11-10,48.9666666666667,25.0333333333333,4.6,NA,10.7,6.8
2003-11-17,49,25.6,4.4,NA,10.6,6.4
2003-11-24,48,26.3333333333333,4.33333333333333,NA,10.6666666666667,7
