"datum","afd","cdu_csu","fdp","gruene","linke_pds","spd"
2017-01-01,13,35.4,5.9,10,10.3,20.8
2017-01-02,13.4,34.5,6,10,10.6,20.8
2017-01-03,13.5,34.7,5.9,10,10.4,20.8
2017-01-04,13.7,35.4,5.9,9.8,10.1,20.5
2017-01-05,13.4,35.7,5.8,9.8,9.9,20.7
2017-01-06,13.2,35.9,5.8,9.9,9.8,20.6
2017-01-07,13.1,36.1,5.8,9.8,9.6,20.7
2017-01-08,13.1,36.2,5.8,9.8,9.6,20.7
2017-01-09,13.4,35.5,6,9.7,9.9,20.7
2017-01-10,13.4,35.6,6,9.7,9.8,20.7
2017-01-11,13.1,35.8,6,9.7,9.9,20.8
2017-01-12,13.1,35.7,6.1,9.8,9.8,20.8
2017-01-13,12.8,36,6.1,9.7,9.7,20.8
2017-01-14,12.9,35.9,6.1,9.6,9.8,20.8
2017-01-15,12.9,35.9,6.1,9.6,9.8,20.8
2017-01-16,12.9,35.6,6.3,9.5,9.9,20.9
2017-01-17,12.8,35.9,6.3,9.5,9.8,20.8
2017-01-18,12.6,35.9,6.3,9.4,9.9,20.9
2017-01-19,12.4,35.8,6.4,9.3,9.9,21.3
2017-01-20,12.4,35.8,6.5,9.4,10,21.2
2017-01-21,12.4,35.7,6.5,9.3,10.1,21.3
2017-01-22,12.4,35.7,6.5,9.3,10.1,21.4
2017-01-23,12.7,35.2,6.7,9.2,10.2,21.3
2017-01-24,12.5,35.5,6.6,9.2,10.1,21.3
2017-01-25,12.4,35.6,6.5,9.3,9.8,21.8
2017-01-26,12.3,35.6,6.4,9.1,9.8,22.1
2017-01-27,12.1,35.5,6.4,8.9,9.8,22.7
2017-01-28,12.1,35.3,6.4,8.9,9.9,22.9
2017-01-29,12.1,35.3,6.4,8.9,9.9,22.9
2017-01-30,12.2,34.9,6.4,8.7,10,23.3
2017-01-31,12.1,35,6.3,8.7,9.9,23.5
2017-02-01,12,34.9,6.3,8.6,9.7,24.1
2017-02-02,11.9,34.5,6.3,8.5,9.3,25
2017-02-03,11.7,34.3,6.1,8.4,9.1,26
2017-02-04,11.7,34.1,6.1,8.2,9.1,26.5
2017-02-05,11.7,34,6.1,8.2,9.1,26.5
2017-02-06,11.7,33.5,6.1,8.1,9.2,27.1
2017-02-07,11.5,33.5,5.9,8.1,9.1,27.5
2017-02-08,11.2,33.4,5.9,8.1,8.8,28.2
2017-02-09,11.1,33.1,5.9,7.8,8.8,29
2017-02-10,10.8,33,5.8,7.7,8.6,29.7
2017-02-11,10.8,32.8,5.8,7.7,8.6,30
2017-02-12,10.8,32.8,5.8,7.7,8.6,30
2017-02-13,11,32.4,5.7,7.6,8.8,30.1
2017-02-14,10.8,32.5,5.6,7.6,8.6,30.4
2017-02-15,10.2,32.5,5.8,7.6,8.4,30.8
2017-02-16,10.1,32.6,5.8,7.7,8.3,30.8
2017-02-17,9.8,32.7,5.8,7.6,8.3,31
2017-02-18,9.8,32.6,5.9,7.5,8.3,31
2017-02-19,9.7,32.6,5.9,7.6,8.3,31
2017-02-20,9.9,32.5,5.9,7.4,8.4,30.9
2017-02-21,9.7,32.7,5.8,7.5,8.3,30.9
2017-02-22,9.7,32.4,6,7.5,8.1,31.1
2017-02-23,9.7,32.3,6,7.4,8.2,31.2
