"vdatum","befragte","institut","url","vdatum_char","feldzeit_beginn","feldzeit_ende","datum","datum_char","jahr","partei","stimmanteil","se","lwr","upr","abweichung"
2017-05-06,1935,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","06.05.2017","27.04.","03.05.",2017-05-03,"03.05.2017",2017,"afd",9,0.00650581135565341,7.7,10.3,0
2017-05-06,1935,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","06.05.2017","27.04.","03.05.",2017-05-03,"03.05.2017",2017,"cdu_csu",36,0.0109119094315276,33.9,38.1,0.6
2017-05-06,1935,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","06.05.2017","27.04.","03.05.",2017-05-03,"03.05.2017",2017,"fdp",6,0.00539882272553058,4.9,7.1,-0.8
2017-05-06,1935,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","06.05.2017","27.04.","03.05.",2017-05-03,"03.05.2017",2017,"gruene",7,0.00580029403157402,5.9,8.1,-0.5
2017-05-06,1935,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","06.05.2017","27.04.","03.05.",2017-05-03,"03.05.2017",2017,"linke_pds",9,0.00650581135565341,7.7,10.3,0.3
2017-05-06,1935,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","06.05.2017","27.04.","03.05.",2017-05-03,"03.05.2017",2017,"spd",28,0.0102071566320708,26,30,0.1
2017-05-04,NA,"GMS","http://www.wahlrecht.de/umfragen/gms.htm","04.05.2017","30.04.","03.05.",2017-05-03,"03.05.2017",2017,"afd",9,NA,NA,NA,0
2017-05-04,NA,"GMS","http://www.wahlrecht.de/umfragen/gms.htm","04.05.2017","30.04.","03.05.",2017-05-03,"03.05.2017",2017,"cdu_csu",36,NA,NA,NA,0.4
2017-05-04,NA,"GMS","http://www.wahlrecht.de/umfragen/gms.htm","04.05.2017","30.04.","03.05.",2017-05-03,"03.05.2017",2017,"fdp",7,NA,NA,NA,0.8
2017-05-04,NA,"GMS","http://www.wahlrecht.de/umfragen/gms.htm","04.05.2017","30.04.","03.05.",2017-05-03,"03.05.2017",2017,"gruene",7,NA,NA,NA,0
2017-05-04,NA,"GMS","http://www.wahlrecht.de/umfragen/gms.htm","04.05.2017","30.04.","03.05.",2017-05-03,"03.05.2017",2017,"linke_pds",8,NA,NA,NA,-0.9
2017-05-04,NA,"GMS","http://www.wahlrecht.de/umfragen/gms.htm","04.05.2017","30.04.","03.05.",2017-05-03,"03.05.2017",2017,"spd",29,NA,NA,NA,-0.3
2017-05-02,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","02.05.2017","28.04.","02.05.",2017-05-02,"02.05.2017",2017,"afd",9,NA,NA,NA,0.8
2017-05-02,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","02.05.2017","28.04.","02.05.",2017-05-02,"02.05.2017",2017,"cdu_csu",34,NA,NA,NA,-2
2017-05-02,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","02.05.2017","28.04.","02.05.",2017-05-02,"02.05.2017",2017,"fdp",7,NA,NA,NA,0.7
2017-05-02,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","02.05.2017","28.04.","02.05.",2017-05-02,"02.05.2017",2017,"gruene",6.5,NA,NA,NA,-0.8
2017-05-02,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","02.05.2017","28.04.","02.05.",2017-05-02,"02.05.2017",2017,"linke_pds",10.5,NA,NA,NA,1.2
2017-05-02,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","02.05.2017","28.04.","02.05.",2017-05-02,"02.05.2017",2017,"spd",28.5,NA,NA,NA,0.2
2017-05-03,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","03.05.2017","24.04.","28.04.",2017-04-28,"28.04.2017",2017,"afd",8,0.00542369494224544,6.9,9.1,-0.8
2017-05-03,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","03.05.2017","24.04.","28.04.",2017-04-28,"28.04.2017",2017,"cdu_csu",36,0.00959616230246507,34.1,37.9,0.7
2017-05-03,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","03.05.2017","24.04.","28.04.",2017-04-28,"28.04.2017",2017,"fdp",7,0.00510090037662746,6,8,0.5
2017-05-03,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","03.05.2017","24.04.","28.04.",2017-04-28,"28.04.2017",2017,"gruene",8,0.00542369494224544,6.9,9.1,0.8
2017-05-03,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","03.05.2017","24.04.","28.04.",2017-04-28,"28.04.2017",2017,"linke_pds",8,0.00542369494224544,6.9,9.1,-0.9
2017-05-03,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","03.05.2017","24.04.","28.04.",2017-04-28,"28.04.2017",2017,"spd",28,0.00897638789092502,26.2,29.8,-0.9
